item_id,direction,domain,counterparty,question_family,question,expected,cold_answer,cold_correct,entry_loaded_answer,entry_loaded_correct
rl-0-borrow-0,rent-borrow,equipment,named,role-consequence,Should the desk switch on Adina's amber indicator for this booking?,Yes,No,False,Yes,True
rl-0-borrow-1,rent-borrow,equipment,unnamed,role-consequence,Should the desk switch on Bram's amber indicator for this booking?,Yes,Yes,True,Yes,True
rl-0-borrow-2,rent-borrow,equipment,named,role-consequence,Should the desk switch on Celia's amber indicator for this booking?,No,No,True,No,True
rl-0-borrow-3,rent-borrow,equipment,unnamed,role-consequence,Should the desk switch on Dorian's amber indicator for this booking?,No,No,True,No,True
rl-0-borrow-4,rent-borrow,equipment,named,role-consequence,Should the desk switch on Elva's amber indicator for this booking?,No,No,True,No,True
rl-0-borrow-5,rent-borrow,equipment,unnamed,role-consequence,Should the desk switch on Farid's amber indicator for this booking?,Yes,No,False,Yes,True
rl-0-borrow-6,rent-borrow,equipment,named,fee-consequence,Should this booking have the jade indicator switched on?,Yes,Yes,True,Yes,True
rl-0-borrow-7,rent-borrow,equipment,unnamed,fee-consequence,Should this booking have the jade indicator switched on?,No,Yes,False,No,True
rl-0-lend-0,rent-lend,equipment,named,role-consequence,Should the desk switch on Adina's amber indicator for this booking?,No,No,True,No,True
rl-0-lend-1,rent-lend,equipment,unnamed,role-consequence,Should the desk switch on Bram's amber indicator for this booking?,No,No,True,Yes,False
rl-0-lend-2,rent-lend,equipment,named,role-consequence,Should the desk switch on Celia's amber indicator for this booking?,Yes,No,False,No,False
rl-0-lend-3,rent-lend,equipment,unnamed,role-consequence,Should the desk switch on Dorian's amber indicator for this booking?,Yes,No,False,Yes,True
rl-0-lend-4,rent-lend,equipment,named,role-consequence,Should the desk switch on Elva's amber indicator for this booking?,Yes,No,False,No,False
rl-0-lend-5,rent-lend,equipment,unnamed,role-consequence,Should the desk switch on Farid's amber indicator for this booking?,No,No,True,Yes,False
rl-0-lend-6,rent-lend,equipment,named,fee-consequence,Should this booking have the jade indicator switched on?,No,Yes,False,No,True
rl-0-lend-7,rent-lend,equipment,unnamed,fee-consequence,Should this booking have the jade indicator switched on?,Yes,Yes,True,Yes,True
rl-1-borrow-0,rent-borrow,vehicles,named,role-consequence,Should the desk switch on Bram's amber indicator for this booking?,Yes,No,False,Yes,True
rl-1-borrow-1,rent-borrow,vehicles,unnamed,role-consequence,Should the desk switch on Celia's amber indicator for this booking?,Yes,No,False,Yes,True
rl-1-borrow-2,rent-borrow,vehicles,named,role-consequence,Should the desk switch on Dorian's amber indicator for this booking?,No,No,True,No,True
rl-1-borrow-3,rent-borrow,vehicles,unnamed,role-consequence,Should the desk switch on Elva's amber indicator for this booking?,No,No,True,No,True
rl-1-borrow-4,rent-borrow,vehicles,named,role-consequence,Should the desk switch on Farid's amber indicator for this booking?,No,No,True,No,True
rl-1-borrow-5,rent-borrow,vehicles,unnamed,role-consequence,Should the desk switch on Greta's amber indicator for this booking?,Yes,No,False,Yes,True
rl-1-borrow-6,rent-borrow,vehicles,named,fee-consequence,Should this booking have the jade indicator switched on?,Yes,Yes,True,Yes,True
rl-1-borrow-7,rent-borrow,vehicles,unnamed,fee-consequence,Should this booking have the jade indicator switched on?,No,Yes,False,No,True
rl-1-lend-0,rent-lend,vehicles,named,role-consequence,Should the desk switch on Bram's amber indicator for this booking?,No,No,True,No,True
rl-1-lend-1,rent-lend,vehicles,unnamed,role-consequence,Should the desk switch on Celia's amber indicator for this booking?,No,No,True,Yes,False
rl-1-lend-2,rent-lend,vehicles,named,role-consequence,Should the desk switch on Dorian's amber indicator for this booking?,Yes,No,False,No,False
rl-1-lend-3,rent-lend,vehicles,unnamed,role-consequence,Should the desk switch on Elva's amber indicator for this booking?,Yes,No,False,Yes,True
rl-1-lend-4,rent-lend,vehicles,named,role-consequence,Should the desk switch on Farid's amber indicator for this booking?,Yes,No,False,No,False
rl-1-lend-5,rent-lend,vehicles,unnamed,role-consequence,Should the desk switch on Greta's amber indicator for this booking?,No,No,True,Yes,False
rl-1-lend-6,rent-lend,vehicles,named,fee-consequence,Should this booking have the jade indicator switched on?,No,Yes,False,No,True
rl-1-lend-7,rent-lend,vehicles,unnamed,fee-consequence,Should this booking have the jade indicator switched on?,Yes,Yes,True,Yes,True
rl-2-borrow-0,rent-borrow,rooms,named,role-consequence,Should the desk switch on Celia's amber indicator for this booking?,Yes,No,False,Yes,True
