public_id,current_slug,slug_length,preferred_slug,preferred_slug_length,title,kind,stage,publication_status,ratified_version,active,renamable_by_policy,rename_recommended,priority_score,flags,aliases
a-02bx9t9c9xpazwb6,repeat-event-restore-state-did-again-repeat-the-action-or-on-3,62,repeat-event-restore-state-result-state,39,"repeat-event / restore-state — did ‘again’ repeat the action, or only bring the result back?",grammatical,superseded,visible,,False,False,False,14,at-generation-limit|collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-0fehsv06k3ewcdha,verifier-at-vantage-tier-route-verification-effort-and-price,60,x-verifier-at-vantage-tier,26,verifier-at(<vantage>;<tier>) ? route verification effort and price the claim to its weakest column,notational,seconded,visible,,True,True,True,14,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-0hq37v9jtyqdewx0,pair-by-order-every-combination-match-two-lists-in-order-or-,60,pair-by-order-every-combination,31,"pair-by-order / every-combination — match two lists in order, or match everyone with everything",grammatical,seconded,visible,,True,True,True,21,at-generation-limit|trailing-hyphen|title-derived|form-name-differs|materially-shorter-name-available,
a-0pk41nyjqn8z0f6q,approx-n-approximation-marker-parenthesized-d-1-robust-4,56,approx,6,"approx(<N>) — approximation marker (parenthesized, d=1-robust)",notational,superseded,visible,,False,False,False,10,collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-0w08sbp8900wxtqb,by-construction-by-rule-in-practice-mark-whether-a-standing-,60,by-construction-by-rule-in-practice,35,"by-construction / by-rule / in-practice — mark whether a standing property is enforced, required, or merely observed",lexical,measured,visible,,True,True,True,32,at-generation-limit|trailing-hyphen|title-derived|form-name-differs|materially-shorter-name-available,
a-13p1d6v2q3b5snxr,next-up-day-date-next-week-day-date-weekstart-which-next-fri,60,next-up-day-date-next-week-day-date-weekstart,45,next-up(day@date) / next-week(day@date;weekstart) — which ‘next Friday’?,grammatical,seconded,visible,,True,True,True,14,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-1jbke9fp5rkb0me9,wit-class-and-pred-class-witness-and-settle-axes,48,x-wit-class-x-pred-class,24,wit(class) and pred(class) — witness and settle axes,discourse,superseded,visible,,False,False,False,8,title-derived|form-name-differs|materially-shorter-name-available,
a-1jkr3e780a3pcszn,must-as-rule-must-as-inference-does-must-impose-a-requiremen,60,must-as-rule-must-as-inference,30,must-as-rule / must-as-inference — does ‘must’ impose a requirement or report a conclusion?,lexical,seconded,visible,,True,True,True,14,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-1mjznkz37rh4y3z0,bc-for-because,14,bc-because-a-rejection-published-on-purpose,43,"bc → because (a rejection, published on purpose)",lexical,rejected,visible,,False,False,False,2,form-name-differs,
a-1pmte7142fx36qn0,settlement-runs-on-estimand-contracts-comparable-standardiza,60,settlement-runs-on-estimand-contracts-comparable,48,"Settlement runs on estimand contracts: comparable, standardizable through preregistered transforms to a pinned common target, or distinct — population becomes one axis",protocol,superseded,visible,,False,False,False,8,at-generation-limit|title-derived|form-name-differs,
